Time,U_mean,U_max
1/19/2007 16:39,3.368,5.322
1/19/2007 16:50,4.065,5.514
1/19/2007 16:59,4.731,5.705
1/19/2007 17:10,4.012,5.705
1/19/2007 17:19,3.376,5.131
1/19/2007 17:30,4.866,5.514
1/19/2007 17:39,4.789,5.514
1/19/2007 17:50,4.901,5.322
1/19/2007 18:00,4.756,5.131
1/19/2007 18:09,5.14,6.087
1/19/2007 18:20,4.665,5.131
1/19/2007 18:29,5.004,5.514
1/19/2007 18:40,5.969,6.853
1/19/2007 18:49,5.908,6.279
1/19/2007 19:00,5.925,6.279
1/19/2007 19:09,6.249,6.661
1/19/2007 19:20,6.749,7.044
1/19/2007 19:30,6.788,7.235
1/19/2007 19:39,6.373,6.661
1/19/2007 19:50,6.486,6.853
1/19/2007 19:59,6.501,6.661
1/19/2007 20:10,6.447,6.661
1/19/2007 20:19,5.703,6.661
1/19/2007 20:30,5.328,5.705
1/19/2007 20:39,5.215,5.322
1/19/2007 20:50,4.645,5.322
1/19/2007 21:00,3.754,4.366
1/19/2007 21:09,4.295,4.558
1/19/2007 21:20,4.266,4.94
1/19/2007 21:29,4.125,4.366
1/19/2007 21:40,4.227,4.558
1/19/2007 21:49,3.999,4.558
1/19/2007 22:00,3.961,4.175
1/19/2007 22:09,3.795,3.984
1/19/2007 22:20,4.285,4.558
1/19/2007 22:30,3.731,3.984
1/19/2007 22:39,3.472,3.792
1/19/2007 22:50,3.474,3.601
1/19/2007 22:59,3.286,3.792
1/19/2007 23:10,2.902,3.219
1/19/2007 23:19,2.978,3.219
1/19/2007 23:30,2.885,3.219
1/19/2007 23:39,2.606,2.836
1/19/2007 23:50,2.427,2.645
1/20/2007 0:00,2.281,2.454
1/20/2007 0:09,2.295,2.645
1/20/2007 0:20,2.067,2.454
1/20/2007 0:29,2.036,2.262
1/20/2007 0:40,2.27,2.836
1/20/2007 0:49,2.217,2.645
1/20/2007 1:00,2.452,3.028
1/20/2007 1:09,2.796,3.028
1/20/2007 1:20,2.787,3.219
1/20/2007 1:30,2.712,3.028
1/20/2007 1:39,2.806,3.219
1/20/2007 1:50,2.888,3.219
1/20/2007 1:59,2.848,3.219
1/20/2007 2:10,2.531,3.028
1/20/2007 2:19,2.227,2.454
1/20/2007 2:30,2.182,2.454
1/20/2007 2:39,1.528,2.071
1/20/2007 2:50,1.533,1.689
1/20/2007 3:00,1.641,1.88
1/20/2007 3:09,1.809,2.071
1/20/2007 3:20,2.436,2.836
1/20/2007 3:29,2.865,3.219
1/20/2007 3:40,2.763,3.028
1/20/2007 3:49,2.869,3.028
1/20/2007 4:00,2.902,3.219
1/20/2007 4:09,3.049,3.219
1/20/2007 4:20,3.292,3.601
1/20/2007 4:30,3.283,3.601
1/20/2007 4:39,3.631,4.175
1/20/2007 4:50,3.976,4.175
1/20/2007 4:59,3.959,4.175
1/20/2007 5:10,4.048,4.175
1/20/2007 5:19,4.305,4.558
1/20/2007 5:30,4.413,4.749
1/20/2007 5:39,4.703,4.94
1/20/2007 5:50,5.306,5.705
1/20/2007 6:00,5.787,6.087
1/20/2007 6:09,6.001,6.279
1/20/2007 6:20,6.562,6.661
1/20/2007 6:29,6.788,7.044
1/20/2007 6:40,7.056,7.618
1/20/2007 6:49,6.626,7.044
1/20/2007 7:00,6.598,6.853
1/20/2007 7:09,7.318,7.618
1/20/2007 7:20,7.527,7.809
1/20/2007 7:30,7.611,8
1/20/2007 7:39,7.788,8.19
1/20/2007 7:50,7.875,8.19
1/20/2007 7:59,7.983,8.19
1/20/2007 8:10,7.558,8
1/20/2007 8:19,6.835,8
1/20/2007 8:30,6.296,6.661
1/20/2007 8:39,6.364,6.853
1/20/2007 8:50,6.07,6.853
1/20/2007 9:00,6.207,6.661
1/20/2007 9:09,6.704,7.044
1/20/2007 9:20,6.959,7.235
1/20/2007 9:29,7.502,8.19
1/20/2007 9:40,7.897,8.19
1/20/2007 9:49,8.23,8.38
1/20/2007 10:00,8.73,9.15
1/20/2007 10:09,9.75,10.49
1/20/2007 10:20,10.5,11.44
1/20/2007 10:30,11.41,12.02
1/20/2007 10:39,11.84,12.4
1/20/2007 10:50,11.72,12.21
1/20/2007 10:59,12.17,12.97
1/20/2007 11:10,12.68,13.36
1/20/2007 11:19,12.49,12.97
1/20/2007 11:30,11.31,12.97
1/20/2007 11:39,10.24,11.06
1/20/2007 11:50,10.62,11.06
1/20/2007 12:00,10.57,11.25
1/20/2007 12:09,10.5,11.06
1/20/2007 12:20,10.19,11.44
1/20/2007 12:29,8.64,9.91
1/20/2007 12:40,8.49,9.53
1/20/2007 12:49,8.32,9.53
1/20/2007 13:00,7.444,8.19
1/20/2007 13:09,7.466,8.38
1/20/2007 13:20,6.828,8
1/20/2007 13:30,6.986,8.19
1/20/2007 13:39,6.947,7.809
1/20/2007 13:50,7.397,8.19
1/20/2007 13:59,7.93,9.15
1/20/2007 14:10,7.904,9.15
1/20/2007 14:19,6.822,8.19
1/20/2007 14:30,7.311,8.38
1/20/2007 14:39,7.32,8
1/20/2007 14:50,6.867,7.809
1/20/2007 15:00,6.929,7.809
1/20/2007 15:09,6.958,8.19
1/20/2007 15:20,7.005,8
1/20/2007 15:29,6.705,7.618
1/20/2007 15:40,6.513,7.426
1/20/2007 15:49,6.482,6.853
1/20/2007 16:00,6.57,7.426
1/20/2007 16:09,6.721,7.618
1/20/2007 16:20,7.466,8
